,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
11524,1,0,-2duKVcAtLc,0,0,24,7347,108509,2041,2625447,37
11525,0,0,yFh09gU1jQ4,0,0,24,2382,48654,1783,1448994,29
11526,2,0,oZUPZSocg4Y,0,0,24,1880,49872,978,1512767,20
11527,0,0,6bDeeEFgUo8,0,0,24,2747,78070,1764,2280782,23
11528,1,0,fp1LtpkOIY8,0,0,24,3008,69477,1284,2464684,29
11529,1,0,_kKf8oUAyCg,0,0,24,3699,73883,1599,2739863,30
11530,1,0,LF4lndwQ7LI,2,0,24,2812,41524,1181,1000578,41
11531,1,0,gq-GN1H82M8,0,0,24,5319,85336,1495,2654536,36
11532,0,0,I1R0H4_v80M,1,0,24,5369,113294,4124,8232772,29
11533,1,0,kUmyicTdzCQ,0,0,24,5233,83941,2863,3293303,34
11534,1,0,sbfRc1Z2N0Q,1,0,24,1939,50878,1082,1609011,21
11535,1,0,rTVqn9GzApU,0,0,24,6044,89244,1917,2450177,35
11536,1,0,BFT8HMPuMJE,0,0,24,1264,16182,1189,336025,19
11537,1,0,54uRdQCKZWk,0,0,24,2388,54846,1456,2048718,22
11538,1,0,HS2Q-erxNp0,2,0,24,2803,57243,1489,1696040,29
11539,1,0,tFA5Ur89Gi0,0,0,24,3735,83900,1592,3441408,33
11540,1,0,sP2Vm2VUOdo,0,2,24,1788,54566,1274,1554283,24
11541,1,0,WARJ5wo9RYk,0,0,24,3136,74506,1866,2145554,28
11542,1,0,FEEUXWPmKXU,0,0,24,2015,54904,1290,1932632,14
11543,1,0,fSUQS17wkaw,0,0,24,6239,101644,2644,6166803,33
11544,3,0,nxpigmN8Ixk,0,0,24,8688,120645,1953,2754803,36
11545,1,0,kuQh5uyL9cE,1,0,24,3675,87378,2739,7103797,25
11546,1,0,4j3ICImXQMk,1,0,24,2537,56952,836,1300917,21
11547,1,0,FLIK-Bh3cvY,0,0,24,2071,44858,3615,729089,35
